geometry,polygon_index,sampled_lat,sampled_lng,pulled_lat,pulled_lng,pulled_panoid,image_url
POINT (-83.7063020870184 42.31295747717935),872ab2590ffffff,42.31295747717935,-83.7063020870184,42.31294685248732,-83.70626276511997,42WW7oh_lfjsfBQq5rLCWw,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.31294685248732,-83.70626276511997&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.69373992336423 42.306684835030495),872ab2595ffffff,42.306684835030495,-83.69373992336423,42.30667308886125,-83.69365020447204,sb7OLiVEQKIZ2oLZ5gzjxw,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.30667308886125,-83.69365020447204&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.76889473235784 42.29254661847576),872749961ffffff,42.29254661847576,-83.76889473235784,42.29255791455239,-83.76837374622352,kusGBqhK9seLv7ynFnHQlw,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.29255791455239,-83.76837374622352&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.7525368816324 42.25795022420555),872749968ffffff,42.25795022420555,-83.7525368816324,42.25693145216046,-83.75254289330476,VA70PwlPNJBgRXrbQOxzug,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.25693145216046,-83.75254289330476&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.69600504962705 42.23381399922783),872ab259bffffff,42.23381399922783,-83.69600504962705,42.23462589090813,-83.69586580696513,PDH6o4QrDFvCgREwVDf-iQ,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.23462589090813,-83.69586580696513&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.70625790826257 42.22386388537759),872ab24b5ffffff,,,,,,
POINT (-83.67768274634096 42.279258090413805),872ab259cffffff,42.279258090413805,-83.67768274634096,42.27930433720249,-83.67644454836797,sbFiO4hHqqJgGUJMMnEGeA,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.27930433720249,-83.67644454836797&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.67796920260652 42.28626953246329),872ab2582ffffff,42.28626953246329,-83.67796920260652,42.28640698601276,-83.67669783856333,eH8myAXwZn2uNmJlRJDdug,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.28640698601276,-83.67669783856333&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.76527909826673 42.24769431559092),87274996bffffff,42.24769431559092,-83.76527909826673,42.24783148116705,-83.76524890899925,_C5p663PO33B_M18oX1wvg,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.24783148116705,-83.76524890899925&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.78253251557729 42.262397850847066),87274996affffff,42.262397850847066,-83.78253251557729,42.26204882780592,-83.78368310484865,yxN4CmmncKJpoHigwW4mCg,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.26204882780592,-83.78368310484865&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.6974586601051 42.251569151589564),872ab2598ffffff,42.251569151589564,-83.6974586601051,42.25140679970867,-83.69752585534903,z3M0JdXAXbs4YREqJ0jLdg,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.25140679970867,-83.69752585534903&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.74137915018771 42.23764279166914),872749969ffffff,42.23764279166914,-83.74137915018771,42.23755942973289,-83.74134759045418,NVNZsjq820dQx7aefqILLw,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.23755942973289,-83.74134759045418&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.77191146821751 42.31444604345222),872749965ffffff,42.31444604345222,-83.77191146821751,42.31466182276078,-83.77215571287077,lC4jRcF7it7hNoh_3n-PAA,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.31466182276078,-83.77215571287077&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.6970677455238 42.321891389525106),872ab2594ffffff,42.321891389525106,-83.6970677455238,42.32334467826583,-83.69654125117873,FdFmG2wx60WgFM0UgHy3Pw,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.32334467826583,-83.69654125117873&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.71210323148836 42.28639369883642),872ab2593ffffff,42.28639369883642,-83.71210323148836,42.2868785148706,-83.71251749128358,xZ2govKJSowF4qiS4jH7aQ,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.2868785148706,-83.71251749128358&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
